1st neighbors,1st neighbors with shuffle,2nd neighbors,2nd neighbors with shuffle
0.025945943,0.02828929,0.032476634,0.036283775
0.026733835,0.026325813,0.033846932,0.03197768
0.028268987,0.027637295,0.03014556,0.031590351
0.026162919,0.028358751,0.034526839,0.033117525
0.027472845,0.027993568,0.031562287,0.034200334
0.026038356,0.028446304,0.032364505,0.035339525
0.025042852,0.027819586,0.032251958,0.033551756
0.027238378,0.026310319,0.032840992,0.03244749
0.028277284,0.026511812,0.032949797,0.032676144
0.028034803,0.027262442,0.034427252,0.032663563
,,,
min,,,
0.025042852,0.026310319,0.03014556,0.031590351
max,,,
0.028277284,0.028446304,0.034526839,0.036283775
avg,avg,avg,avg
0.02692162,0.027495518,0.032739276,0.033384814
